00:00:00.013; 00:00:00.249; 00:00:00.072;
00:00:00.024; 00:00:00.631; 00:00:00.076;
00:00:00.037; 00:00:00.896; 00:00:00.086;
00:00:00.050; 00:00:01.148; 00:00:00.108;
00:00:00.063; 00:00:01.536; 00:00:00.125;
00:00:00.075; 00:00:01.461; 00:00:00.147;
00:00:00.086; 00:00:02.215; 00:00:00.155;
00:00:00.100; 00:00:02.190; 00:00:00.188;
00:00:00.159; 00:00:03.604; 00:00:00.239;
00:00:00.200; 00:00:04.202; 00:00:00.304;
00:00:00.252; 00:00:05.548; 00:00:00.377;
00:00:00.294; 00:00:06.032; 00:00:00.434;
00:00:00.348; 00:00:07.237; 00:00:00.526;
00:00:00.395; 00:00:08.436; 00:00:00.611;
00:00:00.534; 00:00:09.282; 00:00:00.663;
00:00:00.509; 00:00:10.143; 00:00:00.732;
